JOBDEVICE,JOBNAME,MODELNAME,MODELCONFIG,MODELINPUTS
akya-cuda,ngengec_resunet_bc_ist_mont,resunet,model_config_remote_bc.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_dlinknet_bc_ist_mont,dlinknet,model_config_remote_bc_dlink.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_unet_bc_ist_mont,unet,model_config_remote_bc.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_resunet_dice_bc_ist_mont,resunet,model_config_remote_dice_bc.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_dlinknet_dice_bc_ist_mont,dlinknet,model_config_remote_dice_bc_dlink.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_unet_dice_bc_ist_mont,unet,model_config_remote_dice_bc.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_resunet_focal_ist_mont,resunet,model_config_remote_focal.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_dlinknet_focal_ist_mont,dlinknet,model_config_remote_focal_dlink.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_unet_focal_ist_mont,unet,model_config_remote_focal.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_resunet_mse_ist_mont,resunet,model_config_remote_mse.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_dlinknet_mse_ist_mont,dlinknet,model_config_remote_mse_dlink.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_unet_mse_ist_mont,unet,model_config_remote_mse.json,input_files_remote_ist_msi.json input_files_remote_small_msi.json
akya-cuda,ngengec_resunet_bc_ist_mont_traj,resunet,model_config_remote_bc.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_dlinknet_bc_ist_mont_traj,dlinknet,model_config_remote_bc_dlink.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_unet_bc_ist_mont_traj,unet,model_config_remote_bc.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_resunet_dice_bc_ist_mont_traj,resunet,model_config_remote_dice_bc.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_dlinknet_dice_bc_ist_mont_traj,dlinknet,model_config_remote_dice_bc_dlink.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_unet_dice_bc_ist_mont_traj,unet,model_config_remote_dice_bc.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_resunet_focal_ist_mont_traj,resunet,model_config_remote_focal.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_dlinknet_focal_ist_mont_traj,dlinknet,model_config_remote_focal_dlink.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_unet_focal_ist_mont_traj,unet,model_config_remote_focal.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_resunet_mse_ist_mont_traj,resunet,model_config_remote_mse.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_dlinknet_mse_ist_mont_traj,dlinknet,model_config_remote_mse_dlink.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json
akya-cuda,ngengec_unet_mse_ist_mont_traj,unet,model_config_remote_mse.json,input_files_remote_ist_msi_traj.json input_files_remote_small_msi_traj.json